season,week,player_name,defteam,3rd_down_stop,4th_down_stop,qb_hit,sack,tackle_for_loss,forced_fumble,drive_stopper_score,total_impact_plays
2025,18,A.Jennings,NE,0,0,2,0,2,0,7.0,4
2025,15,T.Edwards,CHI,1,0,2,0,1,0,7.0,4
2025,15,J.Greenard,MIN,2,0,2,0,0,0,7.0,4
2025,2,M.Parsons,GB,2,0,2,0,0,0,7.0,4
2025,17,J.Harrell,TEN,1,0,2,0,1,0,7.0,4
2025,20,J.Verse,LA,0,0,2,0,2,0,7.0,4
2025,1,C.Granderson,NO,1,0,0,1,1,0,6.5,3
2025,5,B.Young,LA,1,0,3,0,0,0,6.5,4
2025,8,B.Okereke,NYG,2,0,0,1,0,0,6.5,3
2025,15,R.Smith,BAL,2,1,0,0,0,0,6.5,3
2025,17,J.Tavai,NE,0,1,0,0,2,0,6.5,3
2025,4,A.Davis-Gaither,ARI,1,1,0,0,1,0,6.5,3
2025,7,C.Young,NO,1,0,3,0,0,0,6.5,4
2025,6,T.Watt,PIT,1,0,3,0,0,0,6.5,4
2025,11,F.Luvu,WAS,2,1,0,0,0,0,6.5,3
2025,7,J.Baker,CLE,1,0,0,1,1,0,6.5,3
2025,14,C.Granderson,NO,0,1,0,0,2,0,6.5,3
2025,3,I.Pace,MIN,1,0,3,0,0,0,6.5,4
2025,16,T.Simpson,BAL,0,0,0,1,2,0,6.5,3
2025,13,I.McDuffie,GB,0,1,0,0,2,0,6.5,3
2025,16,J.Harrell,TEN,1,0,0,1,1,0,6.5,3
2025,18,T.Dodson,MIA,2,1,0,0,0,0,6.5,3
2025,18,N.Bolton,KC,1,1,0,0,1,0,6.5,3
2025,11,T.Nowaske,DET,1,1,0,0,1,0,6.5,3
2025,8,B.Carter,CIN,1,1,0,0,1,0,6.5,3
2025,14,Z.Franklin,IND,2,1,0,0,0,0,6.5,3
2025,10,M.Green,BAL,0,0,3,0,1,0,6.5,4
2025,17,N.Scourton,CAR,1,0,0,1,1,0,6.5,3
2025,1,B.Wagner,WAS,2,0,0,0,1,0,6.0,3
2025,13,A.Carter,NYG,1,0,1,1,0,0,6.0,3
2025,1,B.Chubb,MIA,0,0,1,1,1,0,6.0,3
2025,4,T.Robinson,BAL,0,0,1,1,1,0,6.0,3
2025,17,H.To'oTo'o,HOU,2,0,0,0,1,0,6.0,3
2025,2,J.Sherwood,NYJ,1,0,0,0,2,0,6.0,3
2025,15,D.Jackson,CHI,0,0,1,1,1,0,6.0,3
2025,15,D.White,LV,1,0,0,0,2,0,6.0,3
2025,15,E.Roberts,LV,0,0,0,0,3,0,6.0,3
2025,5,B.Chubb,MIA,0,0,1,1,1,0,6.0,3
2025,5,B.Okereke,NYG,3,0,0,0,0,0,6.0,3
